qid,label,text_a,text_cut,pred
0,1,"這間酒店環境和服務態度亦算不錯,但房間空間太小~~不宣容納太大件行李~~且房間格調還可以~~ 中餐廳的廣東點心不太好吃~~要改善之~~~~但算價錢平宜~~可接受~~ 西餐廳格調都很好~~但吃的味道一般且令人等得太耐了~~要改善之~~","這間 酒店 環境 和服 務態度 亦 算 不錯 , 但 房間 空間 太小 ~ ~ 不 宣容納 太 大件 行李 ~ ~ 且 房間 格 調還 可以 ~ ~   中餐 廳 的 廣東點 心不太 好吃 ~ ~ 要 改善 之 ~ ~ ~ ~ 但算價 錢 平宜 ~ ~ 可 接受 ~ ~   西餐 廳格調 都 很 好 ~ ~ 但 吃 的 味道 一般 且 令人 等 得 太耐 了 ~ ~ 要 改善 之 ~ ~",0
11,1,20年前，在大学里读过英文原版，就被深深地打动。毕业后一直想买一本收藏，可一直没找到。前几天在网上搜索到这本书的中文版电子书，DOWN下来又读了一遍。再一次决定，要买一本收藏。没想到真在当当网上找到了。显然，这本书是不大受人关注的，书皮的一半泛着黄，看样子被半压在其他书下很久了，落了很多土。书页黄黄的，不光滑，也没有亮光，不过我很喜欢这种感觉，很有书而非画报的感觉。,20 年前 ， 在 大学 里 读过 英文原版 ， 就 被 深深地 打动 。 毕业 后 一直 想 买 一本 收藏 ， 可 一直 没 找到 。 前 几天 在 网上 搜索 到 这 本书 的 中文版 电子书 ， DOWN 下来 又 读 了 一遍 。 再 一次 决定 ， 要 买 一本 收藏 。 没想到 真 在 当当网 上 找到 了 。 显然 ， 这 本书 是 不大受 人 关注 的 ， 书皮 的 一半 泛着 黄 ， 看样子 被 半压 在 其他 书下 很 久 了 ， 落 了 很多 土 。 书页 黄黄的 ， 不 光滑 ， 也 没有 亮光 ， 不过 我 很 喜欢 这种 感觉 ， 很 有 书 而 非 画报 的 感觉 。,0
19,1,这套书非常棒，女儿一见就爱不释手，拿着西游记看得很投入，尽管识字不多，但是那一张张生动的图片足以让她把电视剧和书联系起来，有板有眼地说哪是白骨精，哪是东海龙王。送货也很快，不爽的是那个当当送货员。本来一次订了十几本书，是一个订单，他抱怨说，你怎么不两本做成一个订单，这样就是好几个订单了，象你这样十几本一个订单，我就挣不住钱，没有人愿意送云云。,这 套书 非常 棒 ， 女儿 一见 就 爱不释手 ， 拿 着 西游记 看得 很 投入 ， 尽管 识字 不 多 ， 但是 那 一张 张 生动 的 图片 足以 让 她 把 电视剧 和 书 联系 起来 ， 有板有眼 地 说 哪 是 白骨精 ， 哪是 东海龙王 。 送货 也 很快 ， 不爽 的 是 那个 当当 送货员 。 本来 一次 订 了 十几 本书 ， 是 一个 订单 ， 他 抱怨 说 ， 你 怎么 不 两本 做成 一个 订单 ， 这样 就是 好几个 订单 了 ， 象 你 这样 十几本 一个 订单 ， 我 就 挣 不住 钱 ， 没有 人 愿意 送 云云 。,0
30,1,"前台客房服务态度好！早餐也很丰富，房价够干净。再接再厉！ 中国人的酒店就是无烟房间少，或者把烟灰缸放进抽屉就是无烟处理。我们这类75%不吸烟者需要再忍受25%烟鬼吗？希望中国办的宾馆向外企学习。请多设无烟楼层。谢谢。我原先定的房价没有无烟层楼了，我就得加付20% 提升高级点的无烟层房间。 We are the 75% non-smokers, it is about time that the Hotel respect us to have the freedom of freshair, BAN the Smokers in the Check-in or Check-out counter please. Thank you. 沒有或者很少無煙房間! 電梯內不許吸煙, 還是有一些吸煙者仍然沒有服從規則! 我是不抽煙的人, 成為二手煙的受害者! (中國13億人口中,煙民只有3.2億. 不到1/4!!!)看到這條評論的煙民,請自覺好嗎?謝謝.","前台 客房 服务态度 好 ！ 早餐 也 很 丰富 ， 房价 够 干净 。 再接再厉 ！   中国 人 的 酒店 就是 无烟 房间 少 ， 或者 把 烟灰缸 放进 抽屉 就是 无烟 处理 。 我们 这类 75% 不 吸烟者 需要 再 忍受 25% 烟鬼 吗 ？ 希望 中国 办 的 宾馆 向 外企 学习 。 请多设 无烟 楼层 。 谢谢 。 我 原先 定 的 房价 没有 无烟 层楼 了 ， 我 就 得 加付 20%   提升 高级 点 的 无烟 层 房间 。   We   are   the   75%   non - smokers ,   it   is   about   time   that   the   Hotel   respect   us   to   have   the   freedom   of   freshair ,   BAN   the   Smokers   in   the   Check - in   or   Check - out   counter   please .   Thank   you .   沒有 或者 很少 無煙 房間 !   電梯 內不許 吸煙 ,   還是 有 一些 吸煙者 仍然 沒有服 從 規則 !   我 是 不 抽煙 的 人 ,   成為 二手 煙 的 受害者 !   ( 中國 13 億 人口 中 , 煙民 只有 3.2 億 .   不到 1 / 4 ! ! ! ) 看到 這條 評論 的 煙民 , 請 自覺 好 嗎 ? 謝謝 .",0
33,1,"外形还OK,用了2天了在VISTA下玩游戏还行的.发热量有时大有时小不知道为什么,不过总体上来说还不是很大,4600买的还送个大礼包.","外形 还 OK , 用 了 2 天 了 在 VISTA 下 玩游戏 还行 的 . 发热量 有时 大 有时 小 不 知道 为什么 , 不过 总体 上 来说 还 不是 很大 , 4600 买 的 还 送个 大礼包 .",0
52,1,今天又购买了一本打算送朋友~~~~没想到，我男朋友也看曾子航的书，还在他的空间转载了一篇文章，叫《三不女人最叫男人魂牵梦萦》。呵呵，开始还以为是他自己的大作，心想他什么时候变得文笔这么好了？还思考起男女问题啦？不会是开小差了吧~~~~~质问一番，原来是转载自曾博的~~嘻嘻，放心了！,今天 又 购买 了 一本 打算 送 朋友 ~ ~ ~ ~ 没想到 ， 我 男朋友 也 看 曾子航 的 书 ， 还 在 他 的 空间 转载 了 一篇 文章 ， 叫 《 三 不 女人 最 叫 男人 魂牵梦萦 》 。 呵呵 ， 开始 还 以为 是 他 自己 的 大作 ， 心想 他 什么 时候 变得 文笔 这么 好 了 ？ 还 思考 起 男女 问题 啦 ？ 不会 是 开小差 了 吧 ~ ~ ~ ~ ~ 质问 一番 ， 原来 是 转载自 曾博 的 ~ ~ 嘻嘻 ， 放心 了 ！,0
55,1,东芝做工好，就是漂亮 散热也没说的什么什么不好，就屏幕下面有点热，我开了五六个小时的机，机身也没什么热的 屏幕没亮点，可能运气好，而且也没说的那样什么灰色的之类，看起来很舒服就对啦,东芝 做工 好 ， 就是 漂亮   散热 也 没说的 什么 什么 不好 ， 就 屏幕 下面 有点 热 ， 我开 了 五六个 小时 的 机 ， 机身 也 没什么 热 的   屏幕 没 亮点 ， 可能 运气 好 ， 而且 也 没说的 那样 什么 灰色 的 之类 ， 看起来 很 舒服 就 对 啦,0
60,0,文字不多，图画很精彩，个人觉得比较适合小一点的孩子，比如一年级或学龄前小朋友看，但文字没有拼音，这又限制了小孩儿阅读。 书的质量还不错。,文字 不 多 ， 图画 很 精彩 ， 个人 觉得 比较 适合 小 一点 的 孩子 ， 比如 一年级 或 学龄前 小朋友 看 ， 但 文字 没有 拼音 ， 这 又 限制 了 小孩儿 阅读 。   书 的 质量 还 不错 。,1
68,0,说实话，这个酒店比较差，去天津时预先看了下酒店地址，富蓝特就在机场大巴终点站附近，比较近所以选择了它 可后来太失望了，房间很小不说，还是木阁楼的，吵的不得了（不排除特价房的原因），那时天气还比较凉，浴室洗澡水竟然是冷的，服务员说多要放会水，就这样放了10分钟也没见热多少。听说天津的酒店都不怎么的，我就坚持凑合在这住了两宿，后来去对面的友谊之家看了下朋友，发现那边很不错。在天津的最后一晚，选择了那边，比富蓝特便宜环境又好，房间很大，卫浴设施不错，服务也不错。 亲身经历，客观评价，希望酒店能改进。。。,说实话 ， 这个 酒店 比较 差 ， 去 天津 时 预先 看 了 下 酒店 地址 ， 富蓝特 就 在 机场 大巴 终点站 附近 ， 比较 近 所以 选择 了 它   可 后来 太 失望 了 ， 房间 很小 不说 ， 还是 木 阁楼 的 ， 吵 的 不得了 （ 不 排除 特价 房 的 原因 ） ， 那时 天气 还 比较 凉 ， 浴室 洗澡水 竟然 是 冷 的 ， 服务员 说 多 要 放会水 ， 就 这样 放 了 10 分钟 也 没见 热 多少 。 听说 天津 的 酒店 都 不怎么 的 ， 我 就 坚持 凑合 在 这 住 了 两宿 ， 后来 去 对面 的 友谊 之家 看 了 下 朋友 ， 发现 那边 很 不错 。 在 天津 的 最后 一 晚 ， 选择 了 那边 ， 比富 蓝特 便宜 环境 又 好 ， 房间 很大 ， 卫浴 设施 不错 ， 服务 也 不错 。   亲身经历 ， 客观 评价 ， 希望 酒店 能 改进 。 。 。,1
74,0,买的时候，看了评论都说不错可是买来才知道，其实也就那样我还没给孩子看呢我想，她也许不会喜欢,买 的 时候 ， 看 了 评论 都 说 不错 可是 买来 才 知道 ， 其实 也 就 那样 我 还 没 给 孩子 看 呢 我 想 ， 她 也许 不会 喜欢,1
